2025-01-28 19:54:04 DEBUG autoreload File C:\Users\t1mm1\skill\SkillBoom\NewsPaper\venv\Lib\site-packages\certifi\core.py first seen with mtime 1733598482.6686654
2025-01-28 19:54:04 DEBUG autoreload File C:\Users\t1mm1\skill\SkillBoom\NewsPaper\venv\Lib\site-packages\django\contrib\sessions\__init__.py first seen with mtime 1733595952.9994533
2025-01-28 19:54:04 DEBUG autoreload File C:\Users\t1mm1\skill\SkillBoom\NewsPaper\venv\Lib\site-packages\sqlparse\utils.py first seen with mtime 1733595951.4539497
2025-01-28 19:54:04 DEBUG autoreload File C:\Users\t1mm1\skill\SkillBoom\NewsPaper\venv\Lib\site-packages\dateutil\relativedelta.py first seen with mtime 1735057978.7479763
2025-01-28 19:54:04 DEBUG autoreload File C:\Users\t1mm1\skill\SkillBoom\NewsPaper\venv\Lib\site-packages\allauth\account\internal\flows\email_verification.py first seen with mtime 1733598401.2893457
2025-01-28 19:54:04 DEBUG autoreload File C:\Users\t1mm1\skill\SkillBoom\NewsPaper\venv\Lib\site-packages\django\contrib\admin\templatetags\admin_modify.py first seen with mtime 1733595952.2199433
2025-01-28 19:54:04 DEBUG autoreload File C:\Users\t1mm1\skill\SkillBoom\NewsPaper\venv\Lib\site-packages\apscheduler\triggers\__init__.py first seen with mtime 1735056646.4969764
2025-01-28 19:54:04 DEBUG autoreload File C:\Users\t1mm1\skill\SkillBoom\NewsPaper\venv\Lib\site-packages\django\template\defaulttags.py first seen with mtime 1733595953.3132517
2025-01-28 19:54:04 DEBUG autoreload File C:\Users\t1mm1\skill\SkillBoom\NewsPaper\venv\Lib\site-packages\celery\app\builtins.py first seen with mtime 1735057980.1610565
2025-01-28 19:54:04 DEBUG autoreload File C:\Users\t1mm1\AppData\Local\Programs\Python\Python312\Lib\tempfile.py first seen with mtime 1707246618.0
2025-01-28 19:54:04 DEBUG autoreload File C:\Users\t1mm1\skill\SkillBoom\NewsPaper\venv\Lib\site-packages\allauth\account\internal\flows\email_verification_by_code.py first seen with mtime 1733598401.2893457
2025-01-28 19:54:04 DEBUG autoreload File C:\Users\t1mm1\skill\SkillBoom\NewsPaper\venv\Lib\site-packages\celery\__init__.py first seen with mtime 1735057980.153078
2025-01-28 19:54:04 DEBUG autoreload File C:\Users\t1mm1\skill\SkillBoom\NewsPaper\venv\Lib\site-packages\django\contrib\sites\__init__.py first seen with mtime 1733595953.0991864
2025-01-28 19:54:04 DEBUG autoreload File C:\Users\t1mm1\skill\SkillBoom\NewsPaper\venv\Lib\site-packages\urllib3\_base_connection.py first seen with mtime 1733598481.9392593
2025-01-28 19:54:04 DEBUG autoreload File C:\Users\t1mm1\AppData\Local\Programs\Python\Python312\Lib\asyncio\coroutines.py first seen with mtime 1707246618.0
2025-01-28 19:54:04 DEBUG autoreload File C:\Users\t1mm1\skill\SkillBoom\NewsPaper\venv\Lib\site-packages\django\forms\boundfield.py first seen with mtime 1733595953.2713637
2025-01-28 19:54:04 DEBUG autoreload File C:\Users\t1mm1\skill\SkillBoom\NewsPaper\venv\Lib\site-packages\django\contrib\admin\views\autocomplete.py first seen with mtime 1733595952.221938
2025-01-28 19:54:04 DEBUG autoreload File C:\Users\t1mm1\skill\SkillBoom\NewsPaper\venv\Lib\site-packages\sqlparse\cli.py first seen with mtime 1733595951.4509575
2025-01-28 19:54:04 DEBUG autoreload File C:\Users\t1mm1\skill\SkillBoom\NewsPaper\venv\Lib\site-packages\urllib3\contrib\__init__.py first seen with mtime 1733598481.9438975
2025-01-28 19:54:04 DEBUG autoreload File C:\Users\t1mm1\skill\SkillBoom\NewsPaper\venv\Lib\site-packages\dateutil\parser\isoparser.py first seen with mtime 1735057978.749971
2025-01-28 19:54:04 DEBUG autoreload File C:\Users\t1mm1\skill\SkillBoom\NewsPaper\manage.py first seen with mtime 1731524749.1102462
2025-01-28 19:54:04 DEBUG autoreload File C:\Users\t1mm1\skill\SkillBoom\NewsPaper\venv\Lib\site-packages\celery\utils\nodenames.py first seen with mtime 1735057980.1999524
2025-01-28 19:54:04 DEBUG autoreload File C:\Users\t1mm1\skill\SkillBoom\NewsPaper\venv\Lib\site-packages\allauth\socialaccount\internal\statekit.py first seen with mtime 1733598401.4209466
2025-01-28 19:54:04 DEBUG autoreload File C:\Users\t1mm1\skill\SkillBoom\NewsPaper\venv\Lib\site-packages\django\templatetags\l10n.py first seen with mtime 1733595953.3202333
2025-01-28 19:54:04 DEBUG autoreload File C:\Users\t1mm1\skill\SkillBoom\NewsPaper\venv\Lib\site-packages\django\core\files\uploadedfile.py first seen with mtime 1733595953.203545
2025-01-28 19:54:04 DEBUG autoreload File C:\Users\t1mm1\skill\SkillBoom\NewsPaper\venv\Lib\site-packages\django\core\checks\templates.py first seen with mtime 1733595953.1985586
2025-01-28 19:54:04 DEBUG autoreload File C:\Users\t1mm1\skill\SkillBoom\NewsPaper\venv\Lib\site-packages\django\core\mail\message.py first seen with mtime 1733595953.2085319
2025-01-28 19:54:04 DEBUG autoreload File C:\Users\t1mm1\skill\SkillBoom\NewsPaper\venv\Lib\site-packages\django\db\models\sql\datastructures.py first seen with mtime 1733595953.2683718
2025-01-28 19:54:04 DEBUG autoreload File C:\Users\t1mm1\skill\SkillBoom\NewsPaper\venv\Lib\site-packages\apscheduler\job.py first seen with mtime 1735056646.4870028
2025-01-28 19:54:04 DEBUG autoreload File C:\Users\t1mm1\skill\SkillBoom\NewsPaper\venv\Lib\site-packages\django\utils\text.py first seen with mtime 1733595953.3391826
2025-01-28 19:54:04 DEBUG autoreload File C:\Users\t1mm1\skill\SkillBoom\NewsPaper\venv\Lib\site-packages\sqlparse\engine\__init__.py first seen with mtime 1733595951.4539497
2025-01-28 19:54:04 DEBUG autoreload File C:\Users\t1mm1\skill\SkillBoom\NewsPaper\venv\Lib\site-packages\tzdata\zoneinfo\Europe\__init__.py first seen with mtime 1733595951.3817606
2025-01-28 19:54:04 DEBUG autoreload File C:\Users\t1mm1\skill\SkillBoom\NewsPaper\venv\Lib\site-packages\django\template\autoreload.py first seen with mtime 1733595953.3112571
2025-01-28 19:54:04 DEBUG autoreload File C:\Users\t1mm1\skill\SkillBoom\NewsPaper\venv\Lib\site-packages\allauth\core\ratelimit.py first seen with mtime 1733598401.3092375
2025-01-28 19:54:04 DEBUG autoreload File C:\Users\t1mm1\skill\SkillBoom\NewsPaper\venv\Lib\site-packages\redis\asyncio\__init__.py first seen with mtime 1735127331.9665594
2025-01-28 19:54:04 DEBUG autoreload File C:\Users\t1mm1\AppData\Local\Programs\Python\Python312\Lib\json\decoder.py first seen with mtime 1707246618.0
2025-01-28 19:54:04 DEBUG autoreload File C:\Users\t1mm1\skill\SkillBoom\NewsPaper\venv\Lib\site-packages\django\contrib\flatpages\templatetags\flatpages.py first seen with mtime 1733595952.5997837
2025-01-28 19:54:04 DEBUG autoreload File C:\Users\t1mm1\skill\SkillBoom\NewsPaper\venv\Lib\site-packages\amqp\platform.py first seen with mtime 1735057979.1866624
2025-01-28 19:54:04 DEBUG autoreload File C:\Users\t1mm1\skill\SkillBoom\NewsPaper\venv\Lib\site-packages\django\core\checks\compatibility\django_4_0.py first seen with mtime 1733595953.1995559
2025-01-28 19:54:04 DEBUG autoreload File C:\Users\t1mm1\skill\SkillBoom\NewsPaper\venv\Lib\site-packages\django\db\backends\base\base.py first seen with mtime 1733595953.2284794
2025-01-28 19:54:04 DEBUG autoreload File C:\Users\t1mm1\skill\SkillBoom\NewsPaper\venv\Lib\site-packages\urllib3\util\proxy.py first seen with mtime 1733598481.9488838
2025-01-28 19:54:04 DEBUG autoreload File C:\Users\t1mm1\AppData\Local\Programs\Python\Python312\Lib\email\contentmanager.py first seen with mtime 1707246618.0
2025-01-28 19:54:04 DEBUG autoreload File C:\Users\t1mm1\skill\SkillBoom\NewsPaper\venv\Lib\site-packages\amqp\__init__.py first seen with mtime 1735057979.182674
2025-01-28 19:54:04 DEBUG autoreload File C:\Users\t1mm1\skill\SkillBoom\NewsPaper\venv\Lib\site-packages\django\views\generic\__init__.py first seen with mtime 1733595953.3481584
2025-01-28 19:54:04 DEBUG autoreload File C:\Users\t1mm1\skill\SkillBoom\NewsPaper\venv\Lib\site-packages\billiard\util.py first seen with mtime 1735057978.4677043
2025-01-28 19:54:04 DEBUG autoreload File C:\Users\t1mm1\skill\SkillBoom\NewsPaper\venv\Lib\site-packages\django\middleware\http.py first seen with mtime 1733595953.3092623
2025-01-28 19:54:04 DEBUG autoreload File C:\Users\t1mm1\skill\SkillBoom\NewsPaper\venv\Lib\site-packages\django\urls\base.py first seen with mtime 1733595953.3252196
2025-01-28 19:54:04 DEBUG autoreload File C:\Users\t1mm1\skill\SkillBoom\NewsPaper\venv\Lib\site-packages\allauth\socialaccount\providers\oauth2\provider.py first seen with mtime 1733598401.5731597
2025-01-28 19:54:04 DEBUG autoreload File C:\Users\t1mm1\skill\SkillBoom\NewsPaper\venv\Lib\site-packages\requests\exceptions.py first seen with mtime 1733598482.7028382
2025-01-28 19:54:04 DEBUG autoreload File C:\Users\t1mm1\AppData\Local\Programs\Python\Python312\Lib\email\_policybase.py first seen with mtime 1707246618.0
2025-01-28 19:54:04 DEBUG autoreload File C:\Users\t1mm1\skill\SkillBoom\NewsPaper\venv\Lib\site-packages\click\exceptions.py first seen with mtime 1735057978.9704576
2025-01-28 19:54:04 DEBUG autoreload File C:\Users\t1mm1\AppData\Local\Programs\Python\Python312\Lib\enum.py first seen with mtime 1707246618.0
